Profile Name,Show,Has Watched,Is Interested,Event Date
Agur,Friends,true,false,2017-08-09
Agur,House of Cards,true,false,2017-08-09
Agur,Arrow,true,false,2017-08-09
Jaanika,Top Gear,true,false,2017-08-29
Jaanika,Suits,true,false,2017-08-29
Jaanika,Designated Survivor,true,false,2017-08-29
Laura,Fuller House,true,false,2017-08-17
Laura,House of Cards,true,false,2017-08-17
Laura,Suits,true,false,2017-08-17
Kertu,Friends,true,false,2017-08-09
Kertu,Finding Dory,true,false,2017-08-09
Kertu,Grey's Anatomy,true,false,2017-08-09
